ID_project;ID_tot;category;id;degree;course;ay;school;school_website;IMMAGINI;Polarità;PIAZZATO;title;subtitle;description;old_description;team;faculty;project_website;Video;Link Video;hasVideo;video_link;Column 17;
FDV_ART_1;FDV_ART_1;ART;1;MSc IT Product Development;Innovation Project - Sustianable Interaction Design;2024;Aarhus University, Department of Computer Science, Aarhus, Denmark;https://masters.au.dk/itproductdevelopment;MyOceanEye;Artificial  /  Natural;Y;MyOceanEye;Sustainable Interaction Design;MyOceanEye is a DIY floating camera that captures underwater images and live-streams them to your phone. Your photos help train AI to recognize marine life and debris, turning your exploration into valuable data for ocean scientists and ocean cleanup projects. The camera’s simple design means anyone – from families to schools - can assemble it using everyday items like a Raspberry Pi, a fisheye camera, and a waterproof container. MyOceanEye combines technology (AI, Raspberry Pi) with nature (ocean) to enhance human understanding of marine ecosystems, demonstrating how artificial tools can coexist with and in support of natural systems.;;Magnus Frisk, Mads Vejrup, Oliver Due Nielsen;Peter Gall Krogh, Marianne Graves Petersen;;YES - 1:00;;youtube;wteYq2ID9ko;;
FDV_ART_10;FDV_ART_10;ART;10;;MITdesignX;2024;MIT, MITdesignX, Cambridge, MA, United States of America;mit.edu/;FDV_ART_10;Artificial / Natural;;CROP-ED;Turning Away From Crop Burning Through Crop Stubble for Construction.;Materials surpass planetary boundaries, whose extractive nature even today raises critical ecological concerns. CROP-ED tackles one such challenge of managing agricultural waste, a major contributor to air pollution and CO₂ emissions by transforming them into biogenic building materials. This initiative mitigates environmental damage while fostering social equity through collective measures. By integrating carbon-sequestering materials into construction, our proposal envisions a circular system that reduces pollution, empowers farmers, and redefines waste management in developing regions.;;Sanchit Agrawal, Aashna Daga, Manavi Dixit;Svafa Grönfeldt;;;;;;;
FDV_ART_2;FDV_ART_2;ART;2;MFA Design Ecologies;Degree Work;2024;Konstfack, Department of Design, Interior Architecture and Visual Communication, Stockholm, Sweden;https://www.konstfack.se/sv/;Rapid autografting;Artificial  /  Natural;;Rapid Autografting;Body-Hacking for Physiological Customization;Rapid Autografting explores a reality where biotechnological processes and body-hacking have evolved, and individuals customize their physiology to meet specific and temporary needs. Drawing on principles from design ecologies and design fiction, it speculates on the transformative potential of biotechnological advancements and the integration of biotechnology into sports footwear. This investigation materializes in possibility of a growing ability to control human’s biological conditions. The wearer’s own biomaterials are processed through advanced tissue engineering to improve customization and performance. In this application, the concept redefines long-distance running by creating an intimate, bioengineered bond between footwear and feet, tying together natural materials and artificial processes.;;Wolfgang Laimer;Katja Pettersson, Bettina Schwalm, Charles Windlin;https://konstfack2024.se/en/master-en/ma-de-en/wolfgang-laimer/;I think the student have this, buit I will have to ask him.;;file;;;
FDV_ART_3;FDV_ART_3;ART;3;MFA Design Ecologies;Degree Work;2024;Konstfack, Department of Design, Interior Architecture and Visual Communication, Stockholm, Sweden;https://www.konstfack.se/sv/;Designing for Death in a Divided Future;Artificial  /  Natural;;Designing for Death in a Divided Future;Future Death Rites Amidst a Climate Crisis;Designing for Death in a Divided Future explores possible future death rites amidst a climate crisis. In two scenarios, the tenets of two different societies have shaped two very different ways of approaching life and death. In the first scenario, “Gaian Sympoiesis”, a full-scale body urn brings the body back to the soil to eventually decompose and re-integrate into ecological flows. The cycles of life guide the principles of this proposal, offering a material reincarnation.  In the second scenario, “Cybernetic Ascendancy”, a lifetime of a person’s digital footprint has been collected, removed, and compressed into a crystal orb. This artefact exemplifies the ideology of the mind capturing the essence of a human.;;Hillevi Hesseldahl;Martin Avila, Katja Pettersson;https://konstfack2024.se/en/master-en/ma-de-en/hillevi-hesseldahl/;;;file;;;
FDV_ART_4;FDV_ART_4;ART;4;Design, Technology and Society Master Degree Program and Industrial Design Undergraduate Program;Design Anthropology and Design Ethnography;2024/2025;Özyeğin University, Faculty of Architecture and Design, Istanbul, Türkiye;https://www.ozyegin.edu.tr/en/faculty-architecture-and-design;Project 01;Artificial  /  Natural;;Analog & Digital Practices;An Ethnography of Analog and Digital Practices of Daily Life;Analog & Digital Practices aims to conduct ethnographic research making a special emphasis on the difference between the physical/analog versus digital practices. The analyzed practices were that of three groups of people between the age of 20 and 60+ in relation to time keeping, shopping, cooking, planning, working/studying and socializing. Research was conducted through activities mapping and environments, interactions, objects, and users’ analysis. Through Interviews and Visual Recording of the Process an understanding of the overall ecosystem of the users for each intended task was developed.;;N. Aksoy, N. Bölükbaşı, G. Çolak, Y. Dönmez, E. Ilbay, E. Özgüder, C. Akverdi, Z. Koç, Z. Yazıcı, Z. Yaşar, A. Y. Büyükşahin, İ. U. Yüzer, T. Ildız, T. Şahin, D. Su Dolap, N. Palaz, M. Yersal, E. M. Cincioğlu, M. Akti, L. Özpetek, I. Özmenek, İ. Timur, Ş. H. Oral, E. Gezen, D. Şevketbeyoğlu, D. Ferhatoğlu, B. Ay;Sebnem Timur;https://everydaylifepractices.framer.website;;;;;;
FDV_ART_5;FDV_ART_5;ART;5;Bachelor Degree;Graduation Project;2024;Tsinghua University, Academy of Arts & Design, Beijing, China;https://www.ad.tsinghua.edu.cn/;AURITA: Cyanobacteria Cleaner;Artificial  /  Natural;;AURITA: Cyanobacteria Cleaner;The Intelligent Bionic Cyanobacteria Cleaning Robot;AURITA is an intelligent bionic cyanobacteria-cleaning robot. Using a self-suction aquatic cleaning device as its template, the robot mimics the pulsating bell-shaped movements of a jellyfish, creating vortices that enable the collection and storage of algae from the water's surface. This bionic propulsion is specifically tailored for shallow water bodies, ensuring minimal energy consumption and environmental disruption during cleaning and recovery tasks. Powered by solar and wind energy, it meets the demands for eco-friendly and energy-efficient technological solutions of the future. Through remote sensing, the robot can identify the presence of cyanobacteria and precisely navigate to high concentrations areas, improving operational efficiency. At night, it autonomously returns to its recovery station addressing the inefficiency of recovery processes of existing surface-cleaning equipment.;;Yiqiao Li;Song Qiu;https://youtu.be/zIM8KsL8b6c;YES - 2:30;https://youtu.be/zIM8KsL8b6c;youtube;zIM8KsL8b6c;;
FDV_ART_6;FDV_ART_6;ART;6;MSc Communication Design;Final Synthesis Design Studio - Sect. 3;2024/2025;Politecnico di Milano, School of Design, Milan, Italy;www.designdellacomunicazione.polimi.it;FDV_ART_6;Artificial  /  Natural;Y;Le Mie Bellocce;People and Indoor Plants: Connections on Online Platforms;Cycling safety remains a major challenge for the hearing impaired, limiting their ability to detect critical auditory cues such as horns, sirens, and approaching and overtaking vehicles. Lumya addresses the absence of accessible safety devices tailored to hearing impaired needs by delivering real-time visual and haptic alerts, thus ensuring environmental awareness while cycling. Integrating a display, wristbands, a Lidar sensor, and microphones, the system detects potential hazards – empowering users to safely engage in an activity they currently can’t or are too afraid to experience.;;Margherita De Alessandri, Laura Falanga Peri, Roberta Florian, Veronica Leoni, Letizia Percuoco, Sara Pugliano;Michele Mauri, Gabriele Colombo, Ángeles Briones, Salvatore Zingale;https://liked-trapped-shared.densitydesign.org/en/projects/indoor-plants;;;;;;
FDV_ART_7;FDV_ART_7;ART;7;MSc Digital & Interaction Design;Digital Design Studio (DI2);2023/2024;Politecnico di Milano, School of Design, Milan, Italy;www.digitalinteractiondesign.polimi.it;29_Wormhole;Artificial  /  Natural;;Wormhole Museum Experience;Interactive Digital Experiences for Enhanced Visitor Engagement;Wormhole Museum Experience transforms the visitor journey at the Como Silk Museum by seamlessly integrating heritage and digital technologies. Responding to challenges such as the conventional museum guestbook and the limited inclusivity of the museum gift shop, the project introduces a mobile application that allows visitors to collect digital artifacts as they explore the museum. At the end of their visit, a multitouch screen wall provides an engaging opportunity to interact collectively with the artifacts created from their digital journey, bringing together diverse individual experiences made in real life through digital environments.;;Gülenay Elif Atmaca, Marta Giamonna, Niccolò Spinas, Tuğçe Topada, Junxi Wu;Tommaso Elli, Ece Ozdil, Mattia Parietti;;YES - 1:28;https://www.youtube.com/watch?v=643rZhUs7G0&t=2s;youtube;643rZhUs7G0;;
FDV_ART_8;FDV_ART_8;ART;8;BA Product Design;Interaction Design;2024;Tongji University, College of Design and Innovation, Shanghai, China;http://tjdi.tongji.edu.cn ;Project 03;Artificial  /  Natural;;VirtX;Fabric Electro-Haptic Interface Design for Somatosensory Interaction;"VirtX introduces a haptic interface product ecosystem consisting of two components: a Virtual Haptic Somatosensory Clothing and a Tac Haptic Interface Module. The first component enables high-precision, full-body virtual haptic rendering. The Somatosensory Clothing is composed of two parts: the clothing main body and the driving hardware. It can be connected to VR headsets and other extended reality devices, providing interactions beyond visual experiences, with a haptic resolution of up to 1mm. The product has broad practical value in fields such as experience, gaming, and medical applications. The second component can be understood as a plug-and-play ""haptic screen,"" designed to be developer/designer-friendly. When connected to a computer and paired with module software and hardware for debugging, it can easily develop various virtual haptic patterns.";;Qingyun Zheng, Shengsheng Jiang;Qi Wang, Teng Han, Hongnan Lin;;YES - 0:52;https://youtu.be/rFaP9_VUi_k;youtube;rFaP9_VUi_k;;
FDV_ART_9;FDV_ART_9;ART;9;Industrial Design;;2024;Kyushu University, School of Design, Fukuoka, Japan;https://www.design.kyushu-u.ac.jp/;A-Life;Artificial / Natural;;A-Life;Speculative Design Study for Future “Life-Afterlife”;In contemporary Japan, technology and views of life and death have become incompatible. With the development of generative AI technology, it is beginning to happen that the dead can be brought back to life by technology, regardless of their will. In a scenario where unwanted resurrections occurs, A-Life explores through speculative design a desirable life. The project consists of a platform where both the dead and the living can meet face to face in the way they desire.;;Sachika Kiyama;Yasuyuki Hirai;;YES - ;https://www.youtube.com/playlist?list=PLCGyvGTC0EddFa-ilAgWKOeS74okv-5af;youtube;XTZVzSaeVxM;;
