GIORNO;ORA;TITOLO;DESCRIZIONE;CHI
sabato, aprile 5;17:00 - 19:00;Grand Opening;;
domenica, aprile 6;"14:30
16:00
18:00";Somewhere Between;"Beings do not precede relationships but are born together with them, mutually shaping one another in the infinite weaving of threads that tangle and give rise to worlds upon worlds. Some call it entanglement, but here, it’s just a game—you’re about to step inside. “Somewhere, Between” is a participatory audio-visual performance where audience and performers blur together, boundaries fade, and opposites reveal themselves to be inextricably intertwined in a co-becoming entanglement. The performance, produced by Campo Teatrale for the event INTERDEPENDENCE, is conceived and created by Usine Baug in collaboration with Pietro Francesco Pingitore (visual artist) and Matrix (New Media Artist – Interactive Sound & Visuals). 

[Event in English and Italian]";Campo Teatrale
lunedì, aprile 7;14:30 - 16:30;NCAD Alumni Connectivity;"A panel of Ireland's National College of Art & Design (NCAD) faculty and alumni. During the panel, NCAD alumni and staff will join together to discuss design practices, establishing studios in the world, and design that demonstrates the vitality of being interdependent in society, globally, and with communities and nature. Panelists will include: Dobrawa Brach Kaluzna (Designer, NCAD Alumni); Jack Brady (Designer, NCAD Alumni); Kathy Mooney (NCAD, Design for Body and Environment), and Sam Russell (NCAD, Product Design).";National College of Art and Design
lunedì, aprile 7;18:00 - 21:00;The INDIVIDUAL/COLLECTIVE dimension of sustainable communication;Selling sustainability' means finding the right balance between two apparent polarities: promoting long-term, collective 'planetary' well-being and highlighting the immediate, concrete, and personal benefits for 'consumers'. Focusing exclusively on one side risks relegating sustainable initiatives to a niche or diluting their broader impact. The goal, then, is to integrate both perspectives, creating a narrative that appeals to personal motivations while fostering a collective commitment to sustainability. A roundtable moderated by Angela De Marco, with Francesco Zurlo, Anna Luciano, Ilaria Giuliani, Chiara Barozzi, Elisa Flamini, Giancarlo Fabbro, Mattia Battagion, Laura Corà, Matteo Brambilla.;Creatives for Climate
martedì, aprile 8;;Mirror Effect;Mirror Effect is a mentalism show created and performed by the Arte & Magia group, where psychological experiments and a touch of comedy intertwine to unveil the mystery of the mirror effect. Through various interactions with the audience, who will play an active role, the show explores how our mind reflects and absorbs thoughts, emotions, and sensations. A journey through suggestion and perception, where nothing is as it seems… or maybe it is!;Arte e Magia
mercoledì, aprile 9;"18:00
20:00";Somewhere Between;"Beings do not precede relationships but are born together with them, mutually shaping one another in the infinite weaving of threads that tangle and give rise to worlds upon worlds. Some call it entanglement, but here, it’s just a game—you’re about to step inside. “Somewhere, Between” is a participatory audio-visual performance where audience and performers blur together, boundaries fade, and opposites reveal themselves to be inextricably intertwined in a co-becoming entanglement. The performance, produced by Campo Teatrale for the event INTERDEPENDENCE, is conceived and created by Usine Baug in collaboration with Pietro Francesco Pingitore (visual artist) and Matrix (New Media Artist – Interactive Sound & Visuals). 

[Event in English and Italian]";Campo Teatrale
mercoledì, aprile 9;16:00 - 17:30;Designing Together: Intedependences of Diverse Design Cultures;"Visit to the exhibition and discussion with the students of the Blended Intensive Programme ""Designing together"", coordinated by Politecnico di Milano ";James Postell (Politecnico di Milano)
giovedì, aprile 10;14:30 - 16:30;From Contrast to identity: Create Your Logo;JEMP, the Junior Enterprise of Politecnico di Milano, presents From contrast to identity: Create your logo, an interactive workshop to design a personalized logo or illustration. The activity aligns with the exhibition’s theme, offering a hands-on experience in the world of Brand Identity. Participants will explore design and visual communication through a dynamic and immersive approach.;JEMP - Junior Enterprise of Politecnico di Milano
giovedì, aprile 10;17:30 - 19:00;Towards PDC.2026: Design Diplomacy: Comprising Opposites;"A shared reflection on the role of design as an activity of institutional organizations in situations of conflict and opposition. A conversation in anticipation of the Participatory Design Conference 2026, themed ""Peace, Dialogue, and Coexistence.""";
giovedì, aprile 10;20:00 - 22:00;Raddice - Live Performance;;Raddice
venerdì, aprile 11;12:00 - 13:30;Design & Autism;A showcase and panel featuring student projects exploring the intersection of design and autism through an inclusive and multidisciplinary approach. Developed within the research group “Cometa” at the Department of Design of Politecnico di Milano, these projects are collected in the volume Design & Autism and on the platform opencometa.com, dedicated to sharing projects for autism.;Venanzio Arquilla, Federica Caruso, Davide Genco & Students (Politecnico di Milano)
